
Status  Name                                                   DisplayName                                                                       
------  ----                                                   -----------                                                                       
Running cplspcon                                               Intel(R) Content Protection HDCP Service                                          
Running cphs                                                   Intel(R) Content Protection HECI Service                                          
Running DeviceAssociationService                               Device Association Service                                                        
Running RpcEptMapper                                           RPC Endpoint Mapper                                                               
Stopped ssh-agent                                              OpenSSH Authentication Agent                                                      
Stopped shpamsvc                                               Shared PC Account Manager                                                         
Stopped sppsvc                                                 Software Protection                                                               
Stopped SessionEnv                                             Remote Desktop Configuration                                                      
Stopped SmsRouter                                              Microsoft Windows SMS Router Service.                                             
Stopped SNMPTRAP                                               SNMP Trap                                                                         
Stopped smphost                                                Microsoft Storage Spaces SMP                                                      
Stopped svsvc                                                  Spot Verifier                                                                     
Stopped TermService                                            Remote Desktop Services                                                           
Stopped swprv                                                  Microsoft Software Shadow Copy Provider                                           
Stopped TieringEngineService                                   Storage Tiers Management                                                          
Stopped spectrum                                               Windows Perception Service                                                        
Stopped SharedRealitySvc                                       Spatial Data Service                                                              
Stopped stisvc                                                 Windows Image Acquisition (WIA)                                                   
Stopped WFDSConMgrSvc                                          Wi-Fi Direct Services Connection Manager Service                                  
Stopped WerSvc                                                 Windows Error Reporting Service                                                   
Stopped wercplsupport                                          Problem Reports Control Panel Support                                             
Stopped wisvc                                                  Windows Insider Service                                                           
Stopped WinRM                                                  Windows Remote Management (WS-Management)                                         
Stopped WiaRpc                                                 Still Image Acquisition Events                                                    
Stopped WdiSystemHost                                          Diagnostic System Host                                                            
Stopped wcncsvc                                                Windows Connect Now - Config Registrar                                            
Stopped WbioSrvc                                               Windows Biometric Service                                                         
Stopped WEPHOSTSVC                                             Windows Encryption Provider Host Service                                          
Stopped Wecsvc                                                 Windows Event Collector                                                           
Stopped WebClient                                              WebClient                                                                         
Stopped wlpasvc                                                Local Profile Assistant Service                                                   
Stopped WwanSvc                                                WWAN AutoConfig                                                                   
Stopped wuauserv                                               Windows Update                                                                    
Stopped WslInstaller                                           ms-resource:AppName                                                               
Stopped XboxGipSvc                                             Xbox Accessory Management Service                                                 
Stopped XblGameSave                                            Xbox Live Game Save                                                               
Stopped XblAuthManager                                         Xbox Live Auth Manager                                                            
Stopped WMPNetworkSvc                                          Windows Media Player Network Sharing Service                                      
Stopped wmiApSrv                                               WMI Performance Adapter                                                           
Stopped WManSvc                                                Windows Management Service                                                        
Stopped WPDBusEnum                                             Portable Device Enumerator Service                                                
Stopped WpcMonSvc                                              Parental Controls                                                                 
Stopped workfolderssvc                                         Work Folders                                                                      
Stopped wbengine                                               Block Level Backup Engine Service                                                 
Stopped VacSvc                                                 Volumetric Audio Compositor Service                                               
Stopped upnphost                                               UPnP Device Host                                                                  
Stopped UmRdpService                                           Remote Desktop Services UserMode Port Redirector                                  
Stopped vmicguestinterface                                     Hyper-V Guest Service Interface                                                   
Stopped vmcompute                                              Hyper-V Host Compute Service                                                      
Stopped vds                                                    Virtual Disk                                                                      
Stopped tzautoupdate                                           Auto Time Zone Updater                                                            
Stopped TrustedInstaller                                       Windows Modules Installer                                                         
Stopped TroubleshootingSvc                                     Recommended Troubleshooting Service                                               
Stopped UltraViewService                                       UltraViewer Service                                                               
Stopped uhssvc                                                 Microsoft Update Health Service                                                   
Stopped UevAgentService                                        User Experience Virtualization Service                                            
Stopped vmicheartbeat                                          Hyper-V Heartbeat Service                                                         
Stopped W32Time                                                Windows Time                                                                      
Stopped VSS                                                    Volume Shadow Copy                                                                
Stopped vmicvss                                                Hyper-V Volume Shadow Copy Requestor                                              
Stopped WarpJITSvc                                             WarpJITSvc                                                                        
Stopped WalletService                                          WalletService                                                                     
Stopped WaaSMedicSvc                                           Windows Update Medic Service                                                      
Stopped XboxNetApiSvc                                          Xbox Live Networking Service                                                      
Stopped vmicrdv                                                Hyper-V Remote Desktop Virtualization Service                                     
Stopped vmickvpexchange                                        Hyper-V Data Exchange Service                                                     
Stopped vmicvmsession                                          Hyper-V PowerShell Direct Service                                                 
Stopped vmictimesync                                           Hyper-V Time Synchronization Service                                              
Stopped vmicshutdown                                           Hyper-V Guest Shutdown Service                                                    
Stopped SensrSvc                                               Sensor Monitoring Service                                                         
Stopped Eaphost                                                Extensible Authentication Protocol                                                
Stopped DsmSvc                                                 Device Setup Manager                                                              
Stopped dot3svc                                                Wired AutoConfig                                                                  
Stopped embeddedmode                                           Embedded Mode                                                                     
Stopped edgeupdatem                                            Microsoft Edge Update Service (edgeupdatem)                                       
Stopped edgeupdate                                             Microsoft Edge Update Service (edgeupdate)                                        
Stopped dmwappushservice                                       Device Management Wireless Application Protocol (WAP) Push message Routing Service
Stopped diagnosticshub.standardcollector.service               Microsoft (R) Diagnostics Hub Standard Collector Service                          
Stopped DevicePickerUserSvc_91113                              DevicePicker_91113                                                                
Stopped DeviceInstall                                          Device Install Service                                                            
Stopped DmEnrollmentSvc                                        Device Management Enrollment Service                                              
Stopped DialogBlockingService                                  DialogBlockingService                                                             
Stopped diagsvc                                                Diagnostic Execution Service                                                      
Stopped GoogleChromeElevationService                           Google Chrome Elevation Service (GoogleChromeElevationService)                    
Stopped GameInputSvc                                           GameInput Service                                                                 
Stopped FrameServer                                            Windows Camera Frame Server                                                       
Stopped gupdatem                                               Google Update Service (gupdatem)                                                  
Stopped gupdate                                                Google Update Service (gupdate)                                                   
Stopped GraphicsPerfSvc                                        GraphicsPerfSvc                                                                   
Stopped FileSyncHelper                                         FileSyncHelper                                                                    
Stopped Fax                                                    Fax                                                                               
Stopped FA_Scheduler                                           FortiClient VPN Service Scheduler                                                 
Stopped EntAppSvc                                              Enterprise App Management Service                                                 
Stopped fhsvc                                                  File History Service                                                              
Stopped FDResPub                                               Function Discovery Resource Publication                                           
Stopped fdPHost                                                Function Discovery Provider Host                                                  
Stopped DeviceAssociationBrokerSvc_91113                       DeviceAssociationBroker_91113                                                     
Stopped AssignedAccessManagerSvc                               AssignedAccessManager Service                                                     
Stopped AppXSvc                                                AppX Deployment Service (AppXSVC)                                                 
Stopped AppVClient                                             Microsoft App-V Client                                                            
Stopped BcastDVRUserService_91113                              GameDVR and Broadcast User Service_91113                                          
Stopped AxInstSV                                               ActiveX Installer (AxInstSV)                                                      
Stopped autotimesvc                                            Cellular Time                                                                     
Stopped AppReadiness                                           App Readiness                                                                     
Stopped AJRouter                                               AllJoyn Router Service                                                            
Stopped agent_ovpnconnect                                      OpenVPN Agent agent_ovpnconnect                                                   
Stopped AarSvc_91113                                           Agent Activation Runtime_91113                                                    
Stopped AppMgmt                                                Application Management                                                            
Stopped AppIDSvc                                               Application Identity                                                              
Stopped ALG                                                    Application Layer Gateway Service                                                 
Stopped CredentialEnrollmentManagerUserSvc_91113               CredentialEnrollmentManagerUserSvc_91113                                          
Stopped ConsentUxUserSvc_91113                                 ConsentUX_91113                                                                   
Stopped COMSysApp                                              COM+ System Application                                                           
Stopped defragsvc                                              Optimize drives                                                                   
Stopped dcsvc                                                  dcsvc                                                                             
Stopped CscService                                             Offline Files                                                                     
Stopped com.docker.service                                     Docker Desktop Service                                                            
Stopped BluetoothUserService_91113                             Bluetooth User Support Service_91113                                              
Stopped BITS                                                   Background Intelligent Transfer Service                                           
Stopped BDESVC                                                 BitLocker Drive Encryption Service                                                
Stopped cloudidsvc                                             Microsoft Cloud Identity Service                                                  
Stopped ClipSVC                                                Client License Service (ClipSVC)                                                  
Stopped CaptureService_91113                                   CaptureService_91113                                                              
Stopped PolicyAgent                                            IPsec Policy Agent                                                                
Stopped PNRPsvc                                                Peer Name Resolution Protocol                                                     
Stopped PNRPAutoReg                                            PNRP Machine Name Publication Service                                             
Stopped PushToInstall                                          Windows PushToInstall Service                                                     
Stopped PrintWorkflowUserSvc_91113                             PrintWorkflow_91113                                                               
Stopped PrintNotify                                            Printer Extensions and Notifications                                              
Stopped pla                                                    Performance Logs & Alerts                                                         
Stopped p2psvc                                                 Peer Networking Grouping                                                          
Stopped p2pimsvc                                               Peer Networking Identity Manager                                                  
Stopped ovpnhelper_service                                     OpenVPN Connect Helper Service                                                    
Stopped PerfHost                                               Performance Counter DLL Host                                                      
Stopped perceptionsimulation                                   Windows Perception Simulation Service                                             
Stopped PeerDistSvc                                            BranchCache                                                                       
Stopped seclogon                                               Secondary Logon                                                                   
